X,Y
305.18,403.786
310.9,385.429
316.613,373.643
322.324,365.5
328.032,360.429
333.734,371
339.434,373.714
345.132,387.786
350.821,385.5
356.511,379.286
362.194,374.143
367.877,365.429
373.552,373.571
379.224,378.643
384.894,372.786
390.559,364.214
396.221,369.857
401.881,366.286
407.533,366.071
413.184,359.857
418.832,353.929
424.474,358.5
430.117,362.429
435.752,360.857
441.383,346.357
447.011,335.857
452.636,331.071
458.253,319.357
463.871,326.429
469.485,335.286
475.096,342.643
480.7,357.5
486.304,379.929
491.9,394.071
497.497,457.143
503.087,611.071
508.673,1534.29
514.258,6122.71
519.838,8862.93
525.414,2960.57
530.986,799.929
536.556,570.929
542.121,479.714
547.682,433.857
553.241,420.5
558.794,424.643
564.345,397.857
569.892,384.286
575.435,388.643
580.973,371.143
586.512,380.286
592.043,383.357
597.571,366.714
603.096,376.786
608.617,387.929
614.135,385.5
619.65,385.286
625.157,376.071
630.665,366.071
636.169,353.786
641.668,344.429
647.164,342.929
652.655,344.429
658.144,350.357
663.63,358.071
669.11,360.857
674.59,363.071
680.061,355.357
685.534,349.429
690.999,343.357
696.461,328.357
701.922,329.857
707.377,328.357
712.83,326.714
718.278,312.5
723.724,311
729.164,310.5
734.603,307.286
740.037,302.786
745.467,301.071
750.895,302.5
756.318,303.143
761.739,307.857
767.154,306.643
772.569,309.5
777.977,312.143
783.383,312.714
788.784,311.929
794.183,317
799.581,322.929
804.969,326.286
810.359,330.214
815.741,329.857
821.124,333.143
826.5,327.643
831.876,328.357
837.244,326.714
842.61,324.571
847.973,329.143
853.335,325
858.689,337.786
864.041,328.143
869.391,331.214
874.736,332
880.078,330.286
885.416,333.929
890.75,334.286
896.082,334.929
901.409,330.786
906.733,333.714
912.054,339.143
917.372,349.286
922.684,375.571
927.996,445.143
933.302,559.714
938.605,650.357
943.905,674.714
949.201,673.214
954.493,673.714
959.784,676.071
965.069,680.143
970.351,687.571
975.628,686.714
980.906,662.786
986.177,596.929
991.445,504.571
996.71,442.429
1001.97,404.714
1007.23,384.357
1012.48,367.429
1017.73,348.857
1022.98,335.5
1028.23,321.857
1033.46,311.714
1038.7,300.929
1043.94,289.643
1049.17,289.143
1054.4,287.143
1059.62,285.571
1064.84,283.786
1070.06,284.071
1075.27,283.429
1080.48,285.643
1085.68,285.214
1090.88,283.286
1096.09,288.357
1101.28,286.571
1106.47,282.143
1111.66,283.071
1116.85,284.143
1122.03,283.571
1127.21,283.071
1132.38,282.286
1137.56,279.286
1142.72,282.857
1147.89,280.857
1153.05,283.857
1158.21,279.214
1163.36,279.5
1168.52,282.929
1173.66,278.643
1178.81,281.643
1183.95,278.786
1189.09,280.143
1194.22,278.857
1199.35,277
1204.48,281.143
1209.61,280.429
1214.73,276.5
1219.85,277.214
1224.96,279.357
1230.07,280.929
1235.18,279.286
1240.28,281.143
1245.38,283.786
1250.48,280.786
1255.57,282.286
1260.67,281.429
1265.75,281
1270.84,279.429
1275.92,282.214
1281,281.429
1286.07,284.071
1291.14,288
1296.21,284.643
1301.27,281.429
1306.33,285.714
1311.39,282.643
1316.44,293.214
1321.49,290
1326.54,293.929
1331.59,302.857
1336.63,309.5
1341.67,315.786
1346.7,313.143
1351.73,312.714
1356.76,307.429
1361.78,301.571
1366.8,292.429
1371.82,292.857
1376.83,288.5
1381.85,282
1386.85,286.429
1391.86,281.857
1396.86,281.429
1401.86,286.214
1406.85,283.214
1411.84,281.643
1416.83,282.429
1421.81,282.214
1426.79,286.357
1431.77,282.071
1436.75,282.786
1441.72,281.429
1446.69,285.786
1451.65,288.643
1456.62,286.429
1461.58,288.429
1466.53,284.071
1471.48,286.143
1476.43,287
1481.38,285.643
1486.32,287.714
1491.26,288.857
1496.19,291.429
1501.13,291.786
1506.05,291.357
1510.98,293
1515.9,298.357
1520.82,297.214
1525.74,297.714
1530.65,302.786
1535.56,306
1540.47,311.214
1545.37,322.857
1550.27,341.5
1555.17,371.929
1560.06,425.429
1564.95,541.286
1569.84,753.714
1574.72,1017.57
1579.61,1057.21
1584.48,843.929
1589.36,602.643
1594.23,465
1599.1,387.929
1603.96,353.5
1608.82,332.929
1613.68,325.143
1618.54,327.5
1623.39,316
1628.24,301.571
1633.08,294.214
1637.93,292.143
1642.76,288.929
1647.6,290.357
1652.43,289.714
1657.26,287.5
1662.09,288.571
1666.91,292.643
1671.73,285.071
1676.55,284.714
1681.36,283.786
1686.18,280.571
1690.98,281.857
1695.79,277.643
1700.59,280.786
1705.39,283.071
1710.18,280.143
1714.97,284.286
1719.76,280.071
1724.55,281.071
1729.33,283.643
1734.11,284.5
1738.89,282.214
1743.66,284.143
1748.43,281.643
1753.2,283.143
1757.96,280.071
1762.72,283.857
1767.48,279.714
1772.23,280.714
1776.98,281.5
1781.73,280.214
1786.47,279.5
1791.22,280.286
1795.95,278.643
1800.69,282
1805.42,279.071
1810.15,279.143
1814.88,279.571
1819.6,279.214
1824.32,282.5
1829.04,280.143
1833.75,278.071
1838.46,280.643
1843.17,281.357
1847.87,277.714
1852.58,280
1857.27,279.286
1861.97,281.643
1866.66,280.357
1871.35,279.429
1876.04,280.786
1880.72,282.143
1885.4,281.929
1890.07,283.286
1894.75,281.286
1899.42,283.286
1904.09,282.429
1908.75,282.214
1913.42,280
1918.07,281.857
1922.73,282.571
1927.38,283.857
1932.03,281.571
1936.67,285.5
1941.32,288.143
1945.96,284.5
1950.59,281.214
1955.23,283.071
1959.86,282.857
1964.49,282.143
1969.11,284.429
1973.73,283.857
1978.35,283.357
1982.97,285.786
1987.58,284
1992.19,285.357
1996.8,285.214
2001.4,284.214
2006,282.286
2010.6,284.786
2015.19,287
2019.78,283
2024.37,281.714
2028.96,283.357
2033.54,285.929
2038.12,283.786
2042.7,285.786
2047.27,284.571
2051.84,285.571
2056.41,284.643
2060.97,284.714
2065.53,288.143
2070.09,285.071
2074.65,281.571
2079.2,278.714
2083.75,282.5
2088.3,284.929
2092.84,282.143
2097.38,283.071
2101.92,282
2106.45,280.643
2110.98,282.5
2115.51,281.214
2120.04,281.429
2124.56,282.143
2129.08,279.929
2133.6,282.071
2138.11,282.286
2142.62,283.857
2147.13,280.143
2151.63,280.786
2156.13,283.929
2160.63,281.571
2165.13,281.5
2169.62,282.429
2174.11,280.714
2178.6,281.643
2183.09,281.071
2187.56,282.571
2192.04,285.786
2196.52,287
2200.99,285.214
2205.46,286.5
2209.93,286.643
2214.39,283
2218.85,282
2223.31,282.214
2227.77,281.643
2232.22,282.857
2236.67,282.286
2241.11,281.714
2245.56,281.643
2250,283.143
2254.43,285.143
2258.87,282.429
2263.3,282.643
2267.73,282.5
2272.15,283.929
2276.58,281.5
2281,285.357
2285.41,280.214
2289.83,282.5
2294.24,282.071
2298.65,284.429
2303.05,283.5
2307.45,289.786
2311.85,284.857
2316.25,283.357
2320.64,282.143
2325.03,284.071
2329.42,283.501
2333.81,281.717
2338.19,283.79
2342.57,284.791
2346.95,285.578
2351.32,284.794
2355.69,284.723
2360.06,284.868
2364.42,286.012
2368.79,288.799
2373.15,288.8
2377.5,289.373
2381.86,285.731
2386.21,289.875
2390.56,289.591
2394.9,291.521
2399.24,290.594
2403.58,291.881
2407.92,290.025
2412.25,294.598
2416.58,291.956
2420.91,300.957
2425.24,302.387
2429.56,302.103
2433.88,311.676
2438.19,319.963
2442.51,318.464
2446.82,322.822
2451.13,325.538
2455.43,322.325
2459.74,319.612
2464.03,323.685
2468.33,315.972
2472.63,314.402
2476.92,314.189
2481.21,310.619
2485.49,306.334
2489.77,306.978
2494.05,312.48
2498.33,302.267
2502.6,303.839
2506.88,305.269
2511.15,302.199
2515.41,301.272
2519.67,302.702
2523.93,301.56
2528.19,300.276
2532.45,304.491
2536.7,303.207
2540.95,304.423
2545.19,300.852
2549.44,300.711
2553.68,304.712
2557.92,304.285
2562.15,305.358
2566.39,305.93
2570.62,308.217
2574.84,307.576
2579.07,310.792
2583.29,317.507
2587.51,314.366
2591.72,319.081
2595.93,324.94
2600.14,331.996
2604.35,330.922
2608.56,336.448
2612.76,353.647
2616.96,347.693
2621.15,353.914
2625.35,363.302
2629.54,374.28
2633.73,385.603
2637.91,403.359
2642.1,420.454
2646.28,442.46
2650.45,465.751
2654.63,507.32
2658.8,544.807
2662.97,594.778
2667.14,659.098
2671.3,713.567
2675.46,763.511
2679.62,802.496
2683.77,819.828
2687.93,830.784
2692.07,827.997
2696.22,825.547
2700.37,816.59
2704.51,811.119
2708.65,795.072
2712.79,767.835
2716.92,729.418
2721.05,686.564
2725.18,634.459
2729.3,580.993
2733.43,534.019
2737.55,496.438
2740.65,464.284
2744.83,425.671
2748.99,391.773
2753.16,370.517
2757.33,351.69
2761.49,345.506
2765.64,332.322
2769.8,328.066
2773.96,324.168
2778.11,318.626
2782.26,315.942
2786.41,309.973
2790.55,318.074
2794.69,305.604
2798.83,303.777
2802.97,301.165
2807.1,299.48
2811.23,301.796
2815.36,308.684
2819.49,296
2823.62,296.601
2827.74,296.703
2831.86,295.947
2835.98,292.62
2840.09,295.65
2844.21,298.18
2848.32,293.139
2852.42,294.241
2856.53,292.2
2860.64,290.087
2864.74,291.903
2868.84,292.647
2872.93,295.106
2877.02,291.707
2881.12,293.023
2885.21,291.196
2889.29,292.727
2893.38,294.828
2897.46,292.073
2901.54,292.817
2905.61,298.847
2909.69,294.377
2913.76,293.05
2917.83,295.58
2921.9,292.896
2925.96,294.355
2930.03,289.528
2934.09,291.915
2938.15,291.803
2942.2,292.976
2946.25,291.506
2950.3,287.893
2954.35,290.923
2958.4,289.668
2962.44,291.626
2966.48,289.514
2970.52,290.972
2974.56,289.574
2978.59,285.819
2982.62,284.206
2986.65,286.236
2990.68,284.409
2994.7,284.368
2998.73,286.112